학교명,학교급구분,소재지지번주소,위도,경도
대전둔원초등학교,초등학교,대전광역시 서구 갈마동 1417,36.34274229,127.3752775
가수원초등학교,초등학교,대전광역시 서구 가수원동 471,36.30248937,127.3528022
의귀초등학교,초등학교,제주특별자치도 서귀포시 남원읍 의귀리 1483-3,33.3107338,126.7143754
태흥초등학교,초등학교,제주특별자치도 서귀포시 남원읍 태흥리 970-3,33.28619218,126.7430815
인헌중학교,중학교,서울특별시 관악구 봉천동 1647,37.47272193,126.9693968
부산남일고등학교,고등학교,부산광역시 수영구 망미동 920-10,35.17823254,129.101259
성일여자고등학교,고등학교,부산광역시 사하구 신평동 60-1,35.08881392,128.9790734
노진초등학교,초등학교,경기도 화성시 장안면 노진리 506-6,37.05139403,126.8089368
태종대초등학교,초등학교,부산광역시 영도구 동삼동 962,35.06560225,129.0788526
신관중학교,중학교,서울특별시 관악구 신림동 87-81,37.47987613,126.9341664
남서울중학교,중학교,서울특별시 관악구 신림동 1690-3,37.4817951,126.9214593
인천부평동초등학교,초등학교,인천광역시 부평구 부평동 440-1,37.49971911,126.7237574
도산초등학교,초등학교,광주광역시 광산구 도산동 659-1,35.12614251,126.791836
운호고등학교,고등학교,충청북도 청주시 서원구 모충동 132-13,36.62496458,127.485278
대전대화초등학교,초등학교,대전광역시 대덕구 대화동 244-5,36.36280821,127.4107174
양정초등학교,초등학교,부산광역시 부산진구 양정동 273-8,35.17507294,129.0712023
양성초등학교,초등학교,부산광역시 부산진구 양정동 445-386,35.17006336,129.0661278
연지초등학교,초등학교,부산광역시 부산진구 연지동 238-4,35.17221575,129.0523438
서운초등학교,초등학교,경기도 안성시 서운면 동촌리 146-2,36.94631867,127.2552131
장파초등학교,초등학교,경기도 파주시 파평면 장파리 348-1,37.94122402,126.837545
대성동초등학교,초등학교,경기도 파주시 군내면 조산리 산 32,37.94349566,126.6805051
대구구암초등학교,초등학교,대구광역시 북구 구암동 694-1,35.9281013,128.5579599
대구신암초등학교,초등학교,대구광역시 북구 대현동 1-2,35.88365516,128.6125294
대구매천초등학교,초등학교,대구광역시 북구 매천동 173,35.91277655,128.5417718
청학초등학교,초등학교,부산광역시 영도구 청학동 412-3,35.09311976,129.0590798
하원초등학교,초등학교,제주특별자치도 서귀포시 하원동 323-1,33.25288417,126.4596362
능안초등학교,초등학교,경기도 파주시 조리읍 능안리 53-6,37.74058403,126.7928293
서탄초등학교,초등학교,경기도 평택시 서탄면 금암리 233-1,37.1073282,127.035832
장림초등학교,초등학교,부산광역시 사하구 장림동 182,35.08161373,128.9762896
안양고등학교,고등학교,경기도 안양시 만안구 박달동 144-3,37.40085475,126.9015663
안성초등학교,초등학교,경기도 안성시 구포동 170,37.01166501,127.2718821
내혜홀초등학교,초등학교,경기도 안성시 아양동 292-1,37.00577574,127.2652414
춘천여자고등학교,고등학교,강원도 춘천시 동면 만천리 756,37.88875712,127.7634081
태안여자고등학교,고등학교,충청남도 태안군 태안읍 남문리 416,36.759906,126.2885658
문명중학교,중학교,경상북도 경산시 백천동 산 16,35.80553743,128.7441371
우신고등학교,고등학교,서울특별시 구로구 궁동 230,37.49535636,126.8266741
대영고등학교,고등학교,서울특별시 영등포구 신길동 336-2,37.50342297,126.9059721
서령초등학교,초등학교,충청남도 서산시 죽성동 77-2,36.74401718,126.4475791
일산동고등학교,고등학교,경기도 고양시 일산서구 탄현동 1471,37.70027786,126.768864
문산제일고등학교,고등학교,경기도 파주시 야동동 361,37.77181504,126.7618997
봉일천고등학교,고등학교,경기도 파주시 조리읍 봉일천리 254-2,37.74661359,126.8159899
교하고등학교,고등학교,경기도 파주시 동패동 1707,37.7226655,126.7220327
서서울생활과학고등학교,고등학교,서울특별시 구로구 궁동 35,37.50374092,126.8282007
김해임호고등학교,고등학교,경상남도 김해시 외동 715-2,35.23803636,128.8521631
대광고등학교,고등학교,서울특별시 동대문구 신설동 53-3,37.57764292,127.0244386
원묵고등학교,고등학교,서울특별시 중랑구 묵동 23,37.61543287,127.0860371
선덕고등학교,고등학교,서울특별시 도봉구 쌍문동 263,37.65452068,127.0266221
도학초등학교,초등학교,강원도 고성군 토성면 도원리 193-1,38.27247348,128.5017005
양구여자중학교,중학교,강원도 양구군 양구읍 정림리 230-1,38.1015051,127.9816654
기린중학교,중학교,강원도 인제군 기린면 현리 765-2,37.94701376,128.3131457
영산중학교,중학교,경상남도 창녕군 영산면 서리 253 영산중학교,35.45981956,128.523952
광주자동화설비공업고등학교,고등학교,광주광역시 광산구 우산동 1084,35.14953342,126.813405
거진중학교,중학교,강원도 고성군 거진읍 봉평리 31-1,38.44671017,128.4485352
영락유헬스고등학교,고등학교,서울특별시 관악구 봉천동 1558-1,37.47658804,126.9448543
서울로봇고등학교,고등학교,서울특별시 강남구 일원동 738,37.48069615,127.0843315
단국공업고등학교,고등학교,서울특별시 강남구 대치동 1013,37.49562483,127.0576122
영남삼육고등학교,고등학교,경상북도 경산시 남산면 송내리 70,35.78847715,128.829169
안성여자고등학교,고등학교,경기도 안성시 신소현동 110,37.0178339,127.2581243
충현고등학교,고등학교,경기도 광명시 소하동 991-1,37.43272772,126.8846386
진주외국어고등학교,고등학교,경상남도 진주시 일반성면 개암리 884,35.16890391,128.2814156
독산고등학교,고등학교,서울특별시 금천구 독산동 907-34,37.476199,126.9109732
오산고현초등학교,초등학교,경기도 오산시 고현동 92,37.1334449,127.0856063
신능초등학교,초등학교,경기도 고양시 덕양구 행신동 1005,37.62367798,126.8313553
아람초등학교,초등학교,경기도 고양시 덕양구 행신동 1069,37.61936124,126.8503725
상동고등학교,고등학교,강원도 영월군 상동읍 천평리 414,37.12499499,128.8210032
영흥고등학교,고등학교,전라남도 목포시 상동 55,34.80509033,126.4167191
삼성여자고등학교,고등학교,부산광역시 사하구 감천동 598,35.09411242,128.9985278
안중초등학교,초등학교,충청남도 태안군 안면읍 중장리 653,36.4737391,126.3718407
축동초등학교,초등학교,경상남도 사천시 축동면 배춘리 714,35.10803189,128.0912422
양산제일고등학교,고등학교,경상남도 양산시 교동 273,35.34468307,129.0242554
남지고등학교,고등학교,경상남도 창녕군 남지읍 남지리 829-10,35.38697532,128.4718804
연봉초등학교,초등학교,세종특별자치시 연서면 봉암리 210-2,36.56392345,127.2822546
수왕초등학교,초등학교,세종특별자치시 연기면 눌왕리 324,36.5437128,127.2522374
연남초등학교,초등학교,세종특별자치시 연기면 연기리 397,36.54344606,127.2781964
반곡초등학교,초등학교,강원도 원주시 반곡동 1450-1,37.33740894,127.9733128
진천고등학교,고등학교,충청북도 진천군 진천읍 신정리 590,36.85337809,127.4496168
경북간호고등학교,고등학교,경상북도 포항시 북구 죽장면 입암리 643-1,36.16382588,129.0930431
보은고등학교,고등학교,충청북도 보은군 보은읍 죽전리 61,36.47508837,127.7211248
대흥고등학교,고등학교,충청남도 예산군 대흥면 상중리 231,36.60489155,126.7918533
태안고등학교,고등학교,충청남도 태안군 태안읍 평천리 710,36.75413979,126.3171548
안면고등학교,고등학교,충청남도 태안군 안면읍 승언리 60-27,36.50934646,126.356202
영신고등학교,고등학교,대구광역시 동구 봉무동 524,35.91893236,128.6458576
대구동부고등학교,고등학교,대구광역시 동구 각산동 199,35.87431335,128.7192847
경덕여자고등학교,고등학교,대구광역시 서구 중리동 100-1,35.86435559,128.5493317
함지고등학교,고등학교,대구광역시 북구 구암동 488-3,35.92821164,128.5606143
광명고등학교,고등학교,경기도 광명시 철산동 234,37.47828906,126.8660271
매화초등학교,초등학교,경상북도 울진군 매화면 매화리 1135,36.91388175,129.3814541
부구초등학교,초등학교,경상북도 울진군 북면 부구리 278,37.1024962,129.3710278
합천초등학교,초등학교,충청남도 청양군 화성면 산정리 243,36.42558293,126.7141497
와룡초등학교,초등학교,경상북도 안동시 와룡면 가구리 684,36.61929014,128.7685479
난정초등학교,초등학교,인천광역시 강화군 교동면 난정리 1282,37.77029489,126.2390651
대구대곡초등학교,초등학교,대구광역시 달서구 도원동 1458,35.80360655,128.5360282
대구노전초등학교,초등학교,대구광역시 달서구 도원동 1428-3,35.80808475,128.531315
대구남송초등학교,초등학교,대구광역시 달서구 본동 275-1,35.83449642,128.5454019
