휴게소명,위도,경도
약수화물차휴게소,35.645302,129.342988
낙동강구미휴게소,36.344493,128.300604
선산휴게소상지점,36.277908,128.249304
선산휴게소하지점,36.274211,128.250738
영덕휴게소,36.528948,129.403459
병곡휴게소,36.606818,129.413634
칠보산휴게소,36.632392,129.416259
여수화물자동차휴게소,34.797906,127.662228
시화나래휴게소,32.573926,124.8702778
시화나래조력문화관 달전망대,37.312897,126.609219
단양(춘천방향)휴게소,36.939341,128.320788
단양(부산방향)휴게소,36.995355,128.287598
옥거쉼터,35.943484,127.494575
와룡쉼터,35.953011,127.466423
용평쉼터,35.876457,127.498212
노성휴게소,35.893581,127.546687
삼락쉼터,35.935451,127.530235
월포휴게소,35.876965,127.501088
초양도휴게소,34.9255272,128.0456998
IC만남의광장,35.974202,127.651079
증평 인삼관광휴게소,36.795296,127.587986
영종대교휴게소,37.553795,126.607044
정안알밤휴게소(상행),36.568514,127.113663
정안알밤휴게소(하행),36.572056,127.113535
이인휴게소,36.351691,127.068272
탄천휴게소,36.320162,127.071268
청도새마을휴게소(상행),35.589988,128.76767
청도새마을휴게소(하행),35.599057,128.768933
양주간이휴게소,37.4046243,126.5510345
장안휴게소(상행),35.379502,129.247713
장안휴게소(하행),35.381913,129.247302
가평휴게소(상행),37.701486,127.543445
가평휴게소(하행),37.702608,127.546298
오산휴게소(상행),37.178892,127.036575
오산휴게소(하행),37.175917,127.038088
송산포도휴게소,37.234958,126.760237
경기광주휴게소(상행),37.380758,127.425385
경기광주휴게소(하행),37.37974,127.43626
양평휴게소(상행),37.399238,127.723546
양평휴게소(하행),37.397226,127.726705
낙동강의성휴게소,36.34366,128.300492
낙동강구미휴게소,36.346071,128.2962
군위영천휴게소,36.071348,128.708164
삼국유사군위휴게소,36.079721,128.696781
별내휴게소,37.7068902,127.126789
의정부휴게소,37.435893,127.114709
