관광지명,위도,경도,면적,수용인원수,제공기관명
가위박물관,35.766161,127.414949,556.99,200,전라북도 진안군
삼척해수욕장관광지,37.472332,129.164734,236846,300,강원도 삼척시
맹방관광지,37.395911,129.220814,782960,500,강원도 삼척시
초당관광지,37.378767,129.208007,2157243,200,강원도 삼척시
장호관광지,37.286345,129.308983,175400,200,강원도 삼척시
표충비,35.471582,128.651036,7122,100,경상남도 밀양시
작원관지,35.39816,128.867415,16000,100,경상남도 밀양시
예림서원,35.466181,128.7299691,41367,100,경상남도 밀양시
밀양향교,35.506326,128.754685,5068,150,경상남도 밀양시
밀양관아,35.494564,128.754331,7110,200,경상남도 밀양시
밀양영남루,35.491991,128.755247,12931,200,경상남도 밀양시
만어사,35.454932,128.846222,115149,200,경상남도 밀양시
표충사,35.532294,128.959045,29751,1000,경상남도 밀양시
산청전통한방휴양관광지,35.441289,127.830605,294998,250000,경상남도 산청군
산청중산관광지,35.293767,127.754114,297000,10000,경상남도 산청군
산청금서관광지,35.394237,127.847052,194800,1200,경상남도 산청군
불갑사관광지,35.201441,126.548957,137517,10000,전라남도 영광군
오색관광지,38.077641,128.510721,461000,3000,강원도 양양군
화순온천,35.1624699,127.084296,512000,3000,전라남도 화순군
도곡온천,35.024689,126.903529,646819,4700,전라남도 화순군
운주사,34.925825,126.880098,105495,1650,전라남도 화순군
오전약수관광지,37.012269,128.745681,137000,2000,경상북도 봉화군
다덕약수관광지,36.914308,128.827195,88720,500,경상북도 봉화군
김포평화누리길 1코스,37.6596942,126.5590043,15000,3514,경기도 김포시
김포평화누리길 2코스,37.7429948,126.5467533,15000,3514,경기도 김포시
김포평화누리길 3코스,37.7491124,126.6147154,15000,3514,경기도 김포시
김포 장릉,37.6115258,126.7113822,24070,300,경기도 김포시
애기봉,37.7431684,126.5940634,1653,0,경기도 김포시
문수산성,37.7429948,126.5467533,700000,250000,경기도 김포시
김포함상공원,37.6402955,126.5400174,9578,80,경기도 김포시
아라뱃길김포터미널,37.5972182,126.7867618,25084,4786,경기도 김포시
덕포진,37.6500141,126.5370109,48794,0,경기도 김포시
