상권명,시도명,시군구명,상권좌표수,좌표(경위도)_wgs84
종묘앞_3,서울특별시,중구,6,"126.995004031241,37.5687514156561|126.992459518236,37.5685675685747|126.992256600674,37.5701877150832|126.992379895983,37.5702788703085|126.994778409404,37.5703803841757|126.995004031241,37.5687514156561"
"혜화역,대학로_1",서울특별시,종로구,20,"127.002520110398,37.5849257033483|127.003285583451,37.5844095570322|127.003245937535,37.5839857334999|127.003903873338,37.5838921653933|127.004122567462,37.5836236958697|127.00434449532,37.5831119720622|127.004571271812,37.5830868508421|127.004658123107,37.5816639370543|127.004482384042,37.5812569884698|127.004188288812,37.5812364903762|127.004226564455,37.5809124379182|127.003411367161,37.5809145780983|127.002664333083,37.5808992669655|127.002324117403,37.5809414479781|127.002140620124,37.5819670860286|127.001689917091,37.5843510387763|127.002175760809,37.5844272244747|127.00212567265,37.5847872179198|127.002341013715,37.5847710148919|127.002520110398,37.5849257033483"
"혜화역,대학로_2",서울특별시,종로구,24,"126.999656345905,37.5840184814931|126.997709777971,37.5822629827938|126.997557541939,37.582640128908|126.997726388365,37.5827136440112|126.997657016178,37.5828211806353|126.997758300174,37.5828670915201|126.998008442959,37.5827881186023|126.998334334722,37.5829710889061|126.998265324829,37.5830515977365|126.998355288687,37.5830974121734|126.998341797968,37.5832594851725|126.997746238065,37.5837680298594|126.997858000051,37.583877102344|126.997947602834,37.5839499452447|126.99841850249,37.5842963318493|126.99820966029,37.5846729989946|126.998705377152,37.5848574075039|126.998703087397,37.5850285857907|126.999189534458,37.5850597368718|126.999177490585,37.5851136973201|126.99935874926,37.5851062215569|126.999472803604,37.5850441142311|127.000503748445,37.5849987740801|126.999656345905,37.5840184814931"
"혜화역,대학로_3",서울특별시,종로구,19,"127.001681425685,37.5824407603806|127.001791961711,37.5817929443274|127.000966035619,37.5817499248994|127.000503934372,37.5815928413657|127.000423487178,37.5816822651957|126.999904904894,37.5815156912671|126.999729799419,37.5819106676251|126.999459668996,37.581791246034|126.99924373385,37.5818524908764|126.998463453106,37.5817828091601|126.997702799661,37.5819385489343|126.998911696216,37.5829759802446|126.999571316704,37.583603283133|127.000007055463,37.5840394699131|127.000632610954,37.5846754890699|127.001056199342,37.5851746420804|127.001124246498,37.5851662067511|127.001265870199,37.5847349040084|127.001681425685,37.5824407603806"
남대문시장,서울특별시,중구,28,"126.977457928075,37.5579866680725|126.976477906544,37.5576448016953|126.976290435218,37.5581117207974|126.976068764115,37.558596364205|126.975892481697,37.5590723899059|126.975887678905,37.5594237549254|126.975936999239,37.559955797273|126.976058410709,37.5601821095401|126.976247849935,37.5604000003721|126.976383411581,37.5604191950652|126.977070447038,37.5606684232686|126.9776680544,37.5608357803511|126.978932409909,37.5610809784056|126.979745670128,37.5612051352704|126.980467289913,37.5614095901105|126.98087263598,37.5615662623779|126.98101976364,37.5615675306144|126.98119062902,37.5614879093987|126.981537992648,37.5609142350733|126.981734674534,37.5606005643163|126.981758043959,37.5605467030285|126.981669709321,37.560383754452|126.981501786455,37.5602471514554|126.98044408932,37.5597875130627|126.979757050191,37.5595383044101|126.979001867198,37.5593065241438|126.978440922734,37.5589412612128|126.977457928075,37.5579866680725"
동대문시장_2,서울특별시,중구,19,"127.008691902455,37.567740684072|127.008170071303,37.5669704199821|127.00778096763,37.56643553901|127.007376372669,37.5662158920272|127.006060102066,37.5664571249776|127.006243310335,37.5671524688125|127.006923850497,37.5670500622902|127.007161059913,37.5670880964345|127.007750195961,37.5679039820306|127.007669414337,37.5680204396416|127.006705304006,37.5681655202894|127.006632341243,37.5693993366968|127.006688098786,37.5694628782452|127.009312630945,37.5695930269192|127.009415096155,37.5695488333865|127.009483723957,37.569495345816|127.009475860454,37.5692339773048|127.009357073726,37.5688004810312|127.008691902455,37.567740684072"
동대문역사문화공원역,서울특별시,중구,18,"127.007530075936,37.5657216083388|127.007125272818,37.5646639878249|127.006979332176,37.5645726576566|127.006254498545,37.5646026088392|127.005516791508,37.5647495829892|127.004768601442,37.5648333911866|127.004078317872,37.5648185676434|127.002811892032,37.564717787785|127.002651999723,37.5648245642374|127.002537420639,37.5657787038188|127.002480629995,37.5666432264069|127.002603452404,37.5667704087915|127.002931925149,37.5667551587566|127.003362622756,37.5667137383493|127.004871916103,37.5664291083458|127.007357078964,37.5659634377439|127.007460256528,37.5658651892063|127.007530075936,37.5657216083388"
"롯데백화점,본점",서울특별시,중구,18,"126.981237782831,37.5621821185816|126.98112460677,37.5621811432268|126.980561339554,37.5628160275215|126.980113080534,37.5633167449085|126.979538723663,37.5639335075828|126.978723118084,37.5648094856172|126.978687075876,37.5649623513792|126.978940390287,37.5654781335041|126.979083596206,37.5657677037375|126.979184477231,37.565840658263|126.979308608615,37.5658687613585|126.982070118179,37.5659015828715|126.982447901461,37.5655894705337|126.982256293672,37.5646957893109|126.981964176344,37.563702127511|126.981701365895,37.5630511134683|126.981481380674,37.5625806762768|126.981237782831,37.5621821185816"
"용산,전자상가_5",서울특별시,용산구,24,"126.963292534311,37.53552642823|126.963316406893,37.535436533005|126.964827690164,37.5357921703146|126.965061173435,37.5352716077928|126.965580226524,37.5353752646253|126.965520054614,37.5356360413889|126.966528325573,37.5355457430159|126.966544729942,37.5351764577363|126.966548579052,37.5348971672584|126.966634849778,37.5343843252189|126.967835429561,37.5342956959863|126.967881798944,37.5342150066105|126.967747155117,37.5341327371827|126.966709681826,37.5338803935682|126.965997939292,37.5338020883092|126.964055419328,37.5335418039002|126.963050162815,37.5334158568429|126.962913407737,37.5334867411563|126.962300343644,37.5344544917185|126.961814331347,37.5352341349391|126.961847149158,37.535315517137|126.962443148339,37.5355820514027|126.963329069515,37.5361574801739|126.963292534311,37.53552642823"
용산구청,서울특별시,용산구,11,"126.991588538886,37.5315091659211|126.991425870837,37.5309851708676|126.991105594303,37.5312437427614|126.99065562196,37.5310506829004|126.988867985967,37.5335673550478|126.990203563241,37.5335337151783|126.990498922023,37.5334461322251|126.990689271217,37.5327539504001|126.99123335204,37.5318395242536|126.9914057134,37.5316427639261|126.991588538886,37.5315091659211"
